horizon,mean_rank_ic,median_rank_ic,ic_volatility,ic_ir,positive_ic_share,observations
1,0.04134061081238774,0.04081106422878575,0.10677622080236812,0.38717057507499714,0.6660039761431411,503
2,0.03337867470577139,0.04014299109235818,0.11112124966573607,0.3003806635200541,0.6135458167330677,502
5,0.027416389271745556,0.03112986404125645,0.11436765984569555,0.23972152012846684,0.6032064128256514,499
10,0.010153487418643978,0.008473980309423347,0.11232453555097341,0.09039420789802667,0.5242914979757085,494
20,0.010441875602980322,0.00473511486169714,0.11106675981731222,0.09401440737224716,0.5206611570247934,484
